0
F1	F2	F3	F4	time
0.000	0.000	0.050	0.000	0.090
0.000	0.000	0.050	0.000	0.098
0.000	0.000	0.042	0.000	0.111
0.000	0.000	0.021	0.000	0.119
0.000	0.000	-0.000	0.000	0.131
0.000	0.000	-0.014	0.000	0.139
0.000	0.000	-0.007	0.000	0.147
0.000	0.000	0.014	0.000	0.162
0.000	0.000	0.027	0.000	0.169
0.000	0.000	0.028	0.000	0.182
0.000	0.000	0.020	0.000	0.189
0.000	0.000	0.007	0.000	0.203
0.000	0.000	-0.001	0.000	0.209
0.000	0.000	0.001	0.000	0.222
0.000	0.000	0.011	0.000	0.231
0.000	0.000	0.017	0.000	0.242
0.000	0.000	0.021	0.000	0.250
0.000	0.000	0.024	0.000	0.262
0.000	0.000	0.018	0.000	0.271
0.000	0.000	0.022	0.000	0.279
0.000	0.000	0.024	0.000	0.291
0.000	0.000	0.002	0.000	0.299
0.000	0.000	-0.013	0.000	0.311
0.000	0.000	-0.014	0.000	0.320
0.000	0.000	-0.023	0.000	0.332
0.000	0.000	0.004	0.000	0.341
0.000	0.000	0.037	0.000	0.354
0.000	0.000	0.018	0.000	0.360
0.000	0.000	-0.003	0.000	0.368
0.000	0.000	0.001	0.000	0.381
0.000	0.000	0.003	0.000	0.389
0.000	0.000	0.012	0.000	0.404
0.000	0.000	0.026	0.000	0.412
0.000	0.000	0.019	0.000	0.422
0.000	0.000	-0.002	0.000	0.430
0.000	0.000	-0.007	0.000	0.443
0.000	0.000	-0.010	0.000	0.451
0.000	0.000	-0.004	0.000	0.459
0.000	0.000	0.008	0.000	0.471
0.000	0.000	-0.009	0.000	0.480
0.000	0.000	-0.020	0.000	0.491
0.000	0.000	-0.010	0.000	0.500
0.000	0.000	-0.004	0.000	0.512
0.000	0.000	0.008	0.000	0.520
0.000	0.000	0.031	0.000	0.532
0.000	0.000	0.038	0.000	0.540
0.000	0.000	0.019	0.000	0.553
0.000	0.000	0.006	0.000	0.563
0.000	0.000	0.006	0.000	0.574
0.000	0.000	0.006	0.000	0.583
0.000	0.000	0.014	0.000	0.591
0.000	0.000	0.011	0.000	0.602
0.000	0.000	-0.007	0.000	0.610
0.000	0.000	-0.010	0.000	0.622
0.000	0.000	-0.004	0.000	0.631
0.000	0.000	0.008	0.000	0.645
0.000	0.000	0.015	0.000	0.651
0.000	0.000	0.004	0.000	0.665
0.000	0.000	-0.003	0.000	0.672
0.000	0.000	-0.008	0.000	0.682
0.000	0.000	-0.003	0.000	0.693
0.000	0.000	0.041	0.000	0.702
0.000	0.000	0.069	0.000	0.712
0.000	0.000	0.030	0.000	0.721
0.000	0.000	-0.003	0.000	0.732
0.000	0.000	0.000	0.000	0.741
0.000	0.000	-0.006	0.000	0.754
0.000	0.000	-0.009	0.000	0.761
0.000	0.000	0.004	0.000	0.775
0.000	0.000	-0.003	0.000	0.782
0.000	0.000	-0.040	0.000	0.790
0.000	0.000	-0.047	0.000	0.803
0.000	0.000	-0.036	0.000	0.811
0.000	0.000	-0.029	0.000	0.823
0.000	0.000	-0.016	0.000	0.833
0.000	0.000	-0.024	0.000	0.843
0.000	0.000	-0.037	0.000	0.853
0.000	0.000	-0.038	0.000	0.864
0.000	0.000	-0.030	0.000	0.874
0.000	0.000	-0.009	0.000	0.880
0.000	0.000	0.013	0.000	0.894
0.000	0.000	-0.006	0.000	0.901
0.000	0.000	-0.034	0.000	0.914
0.000	0.000	-0.027	0.000	0.921
0.000	0.000	-0.015	0.000	0.935
0.000	0.000	-0.016	0.000	0.942
0.000	0.000	-0.008	0.000	0.955
0.000	0.000	-0.003	0.000	0.965
0.000	0.000	-0.024	0.000	0.971
0.000	0.000	-0.029	0.000	0.984
0.000	0.000	-0.008	0.000	0.993
0.000	0.000	0.013	0.000	1.003
0.000	0.000	0.019	0.000	1.012
0.000	0.000	0.006	0.000	1.026
0.000	0.000	-0.010	0.000	1.032
0.000	0.000	-0.012	0.000	1.044
0.000	0.000	-0.014	0.000	1.055
0.000	0.000	0.002	0.000	1.065
0.000	0.000	0.044	0.000	1.074
0.000	0.000	0.070	0.000	1.085
0.000	0.000	0.079	0.000	1.094
0.000	0.000	0.077	0.000	1.107
0.000	0.000	0.068	0.000	1.116
0.000	0.000	0.062	0.000	1.122
0.000	0.000	0.058	0.000	1.135
0.000	0.000	0.031	0.000	1.143
0.000	0.000	-0.010	0.000	1.157
0.000	0.000	-0.028	0.000	1.163
0.000	0.000	-0.096	0.000	1.176
0.000	0.000	-0.132	0.000	1.183
0.000	0.000	-0.090	0.000	1.196
0.000	0.000	-0.063	0.000	1.204
0.000	0.000	-0.054	0.000	1.213
0.000	0.000	-0.041	0.000	1.225
0.000	0.000	-0.016	0.000	1.233
0.000	0.000	0.000	0.000	1.245
0.000	0.000	0.027	0.000	1.254
0.000	0.000	0.043	0.000	1.266
0.000	0.000	0.038	0.000	1.275
0.000	0.000	0.019	0.000	1.286
0.000	0.000	0.014	0.000	1.294
0.000	0.000	0.027	0.000	1.308
0.000	0.000	0.036	0.000	1.314
0.000	0.000	0.049	0.000	1.323
0.000	0.000	0.042	0.000	1.336
0.000	0.000	0.029	0.000	1.344
0.000	0.000	0.029	0.000	1.357
0.000	0.000	0.037	0.000	1.364
0.000	0.000	0.050	0.000	1.376
0.000	0.000	0.050	0.000	1.384
0.000	0.000	0.042	0.000	1.397
0.000	0.000	0.037	0.000	1.405
0.000	0.000	0.042	0.000	1.417
0.000	0.000	0.045	0.000	1.426
0.000	0.000	0.055	0.000	1.433
0.000	0.000	0.078	0.000	1.447
0.000	0.000	0.076	0.000	1.454
0.000	0.000	0.059	0.000	1.468
0.000	0.000	0.064	0.000	1.474
0.000	0.000	0.067	0.000	1.487
0.000	0.000	0.069	0.000	1.496
0.000	0.000	0.087	0.000	1.508
0.000	0.000	0.082	0.000	1.516
0.000	0.000	0.063	0.000	1.530
0.000	0.000	0.075	0.000	1.538
0.000	0.000	0.098	0.000	1.545
0.000	0.000	0.097	0.000	1.557
0.000	0.000	0.080	0.000	1.564
0.000	0.000	0.062	0.000	1.577
0.000	0.000	0.042	0.000	1.585
0.000	0.000	0.029	0.000	1.598
0.000	0.000	0.029	0.000	1.606
0.000	0.000	0.045	0.000	1.620
0.000	0.000	0.071	0.000	1.626
0.000	0.000	0.064	0.000	1.634
0.000	0.000	0.027	0.000	1.646
0.000	0.000	0.019	0.000	1.655
0.000	0.000	0.023	0.000	1.667
0.000	0.000	0.033	0.000	1.677
0.000	0.000	0.055	0.000	1.690
0.000	0.000	0.038	0.000	1.696
0.000	0.000	0.010	0.000	1.709
0.000	0.000	0.001	0.000	1.718
0.000	0.000	-0.005	0.000	1.729
0.000	0.000	-0.001	0.000	1.737
0.000	0.000	0.010	0.000	1.745
0.000	0.000	0.000	0.000	1.758
0.000	0.000	-0.014	0.000	1.765
0.000	0.000	-0.007	0.000	1.779
0.000	0.000	0.006	0.000	1.787
0.000	0.000	0.022	0.000	1.798
0.000	0.000	0.033	0.000	1.806
0.000	0.000	0.015	0.000	1.819
0.000	0.000	-0.004	0.000	1.828
0.000	0.000	0.008	0.000	1.839
0.000	0.000	0.015	0.000	1.849
0.000	0.000	0.012	0.000	1.856
0.000	0.000	0.018	0.000	1.867
0.000	0.000	0.006	0.000	1.875
0.000	0.000	-0.026	0.000	1.888
0.000	0.000	-0.039	0.000	1.897
0.000	0.000	-0.023	0.000	1.909
0.000	0.000	-0.020	0.000	1.919
0.000	0.000	-0.019	0.000	1.927
0.000	0.000	-0.010	0.000	1.938
0.000	0.000	-0.012	0.000	1.947
0.000	0.000	-0.013	0.000	1.958
0.000	0.000	-0.014	0.000	1.967
0.000	0.000	0.001	0.000	1.980
0.000	0.000	0.019	0.000	1.987
0.000	0.000	0.022	0.000	1.999
0.000	0.000	0.009	0.000	2.007
0.000	0.000	-0.000	0.000	2.020
0.000	0.000	-0.006	0.000	2.029
0.000	0.000	-0.002	0.000	2.040
0.000	0.000	0.009	0.000	2.048
0.000	0.000	0.016	0.000	2.061
0.000	0.000	0.013	0.000	2.068
0.000	0.000	0.002	0.000	2.077
0.000	0.000	0.004	0.000	2.089
0.000	0.000	0.005	0.000	2.098
0.000	0.000	0.005	0.000	2.111
0.000	0.000	-0.027	0.000	2.117
0.000	0.000	-0.055	0.000	2.131
0.000	0.000	-0.065	0.000	2.138
0.000	0.000	-0.047	0.000	2.150
0.000	0.000	-0.012	0.000	2.158
0.000	0.000	0.003	0.000	2.169
0.000	0.000	0.012	0.000	2.181
0.000	0.000	0.002	0.000	2.189
0.000	0.000	-0.005	0.000	2.201
0.000	0.000	-0.009	0.000	2.208
0.000	0.000	-0.011	0.000	2.220
0.000	0.000	0.003	0.000	2.230
0.000	0.000	0.028	0.000	2.242
0.000	0.000	0.020	0.000	2.249
0.000	0.000	-0.009	0.000	2.258
0.000	0.000	-0.012	0.000	2.270
0.000	0.000	-0.005	0.000	2.277
0.000	0.000	-0.001	0.000	2.289
0.000	0.000	0.018	0.000	2.297
0.000	0.000	0.030	0.000	2.310
0.000	0.000	0.005	0.000	2.320
0.000	0.000	-0.011	0.000	2.330
0.000	0.000	-0.013	0.000	2.339
0.000	0.000	-0.014	0.000	2.351
0.000	0.000	0.001	0.000	2.360
0.000	0.000	0.011	0.000	2.367
0.000	0.000	0.001	0.000	2.381
0.000	0.000	-0.005	0.000	2.388
0.000	0.000	-0.001	0.000	2.402
0.000	0.000	-0.055	0.000	2.408
0.000	0.000	-0.081	0.000	2.421
0.000	0.000	-0.041	0.000	2.429
0.000	0.000	-0.024	0.000	2.443
0.000	0.000	-0.021	0.000	2.451
0.000	0.000	-0.019	0.000	2.462
0.000	0.000	-0.018	0.000	2.470
0.000	0.000	-0.009	0.000	2.479
0.000	0.000	0.012	0.000	2.492
0.000	0.000	0.010	0.000	2.498
0.000	0.000	0.001	0.000	2.512
0.000	0.000	0.011	0.000	2.521
0.000	0.000	0.025	0.000	2.532
0.000	0.000	0.026	0.000	2.540
0.000	0.000	0.027	0.000	2.552
0.000	0.000	0.012	0.000	2.562
0.000	0.000	-0.015	0.000	2.572
0.000	0.000	-0.015	0.000	2.581
0.000	0.000	-0.007	0.000	2.589
0.000	0.000	-0.002	0.000	2.601
0.000	0.000	-0.015	0.000	2.609
0.000	0.000	-0.040	0.000	2.622
0.000	0.000	-0.055	0.000	2.630
0.000	0.000	-0.041	0.000	2.643
0.000	0.000	-0.016	0.000	2.652
0.000	0.000	0.000	0.000	2.663
0.000	0.000	0.026	0.000	2.672
0.000	0.000	0.035	0.000	2.684
0.000	0.000	0.017	0.000	2.692
0.000	0.000	0.013	0.000	2.699
0.000	0.000	0.027	0.000	2.711
0.000	0.000	0.011	0.000	2.720
0.000	0.000	0.001	0.000	2.731
0.000	0.000	0.011	0.000	2.740
0.000	0.000	-0.007	0.000	2.752
0.000	0.000	-0.026	0.000	2.762
0.000	0.000	-0.023	0.000	2.773
0.000	0.000	-0.012	0.000	2.783
0.000	0.000	0.003	0.000	2.793
0.000	0.000	0.020	0.000	2.803
0.000	0.000	0.015	0.000	2.810
0.000	0.000	0.004	0.000	2.824
0.000	0.000	-0.028	0.000	2.830
0.000	0.000	-0.048	0.000	2.842
0.000	0.000	-0.028	0.000	2.851
0.000	0.000	-0.008	0.000	2.864
0.000	0.000	-0.011	0.000	2.873
0.000	0.000	-0.029	0.000	2.883
0.000	0.000	-0.016	0.000	2.891
0.000	0.000	0.008	0.000	2.904
0.000	0.000	0.015	0.000	2.912
0.000	0.000	0.020	0.000	2.921
0.000	0.000	0.015	0.000	2.932
0.000	0.000	-0.004	0.000	2.942
0.000	0.000	-0.009	0.000	2.952
0.000	0.000	0.013	0.000	2.963
0.000	0.000	0.035	0.000	2.973
0.000	0.000	0.041	0.000	2.981
0.000	0.000	0.044	0.000	2.993
0.000	0.000	0.031	0.000	3.003
0.000	0.000	0.022	0.000	3.012
0.000	0.000	0.024	0.000	3.023
0.000	0.000	0.018	0.000	3.031
0.000	0.000	0.030	0.000	3.045
0.000	0.000	0.045	0.000	3.051
0.000	0.000	0.031	0.000	3.063
0.000	0.000	0.014	0.000	3.072
0.000	0.000	0.019	0.000	3.084
