0
F1	F2	F3	F4	time
0.013	0.013	0.027	0.000	1.640
0.014	0.014	0.008	0.000	1.650
0.014	0.014	-0.004	0.000	1.658
0.014	0.014	-0.012	0.000	1.666
0.014	0.014	-0.025	0.000	1.679
0.014	0.014	-0.050	0.000	1.687
0.014	0.014	-0.049	0.000	1.700
0.015	0.015	-0.017	0.000	1.710
0.015	0.015	0.012	0.000	1.722
0.015	0.015	0.007	0.000	1.729
0.016	0.016	-0.013	0.000	1.741
0.016	0.016	-0.026	0.000	1.749
0.016	0.016	-0.026	0.000	1.758
0.016	0.016	-0.010	0.000	1.770
0.016	0.016	-0.016	0.000	1.777
0.016	0.016	-0.027	0.000	1.789
0.016	0.016	-0.019	0.000	1.798
0.016	0.016	0.003	0.000	1.810
0.017	0.017	0.009	0.000	1.819
0.017	0.017	-0.012	0.000	1.832
0.017	0.017	-0.017	0.000	1.839
0.017	0.017	0.004	0.000	1.851
0.017	0.017	0.009	0.000	1.860
0.017	0.017	0.021	0.000	1.873
0.017	0.017	0.036	0.000	1.880
0.017	0.017	0.054	0.000	1.888
0.017	0.017	0.057	0.000	1.901
0.017	0.017	0.051	0.000	1.911
0.017	0.017	0.064	0.000	1.921
0.017	0.017	0.072	0.000	1.929
0.016	0.016	0.061	0.000	1.941
0.016	0.016	0.054	0.000	1.950
0.017	0.017	0.065	0.000	1.963
0.017	0.017	0.064	0.000	1.970
0.017	0.017	0.040	0.000	1.982
0.017	0.017	0.040	0.000	1.990
0.017	0.017	0.065	0.000	1.999
0.017	0.017	0.096	0.000	2.011
0.017	0.017	0.093	0.000	2.020
0.017	0.017	0.058	0.000	2.032
0.017	0.017	0.060	0.000	2.039
0.017	0.017	0.069	0.000	2.051
0.017	0.017	0.083	0.000	2.060
0.017	0.017	0.084	0.000	2.074
0.018	0.018	0.069	0.000	2.080
0.018	0.018	0.034	0.000	2.090
0.018	0.018	0.013	0.000	2.100
0.018	0.018	0.007	0.000	2.109
0.018	0.018	0.003	0.000	2.121
0.018	0.018	0.009	0.000	2.129
0.018	0.018	-0.004	0.000	2.141
0.018	0.018	0.004	0.000	2.150
0.018	0.018	0.042	0.000	2.164
0.018	0.018	0.050	0.000	2.170
0.018	0.018	0.046	0.000	2.183
0.018	0.018	0.061	0.000	2.192
0.018	0.018	0.086	0.000	2.199
0.019	0.019	0.110	0.000	2.213
0.019	0.019	0.093	0.000	2.221
0.020	0.020	0.082	0.000	2.233
0.020	0.020	0.108	0.000	2.240
0.020	0.020	0.132	0.000	2.254
0.019	0.019	0.131	0.000	2.260
0.019	0.019	0.107	0.000	2.274
0.019	0.019	0.091	0.000	2.281
0.020	0.020	0.089	0.000	2.295
